id,x,y,z,region,family,speed,ref_reachable,ref_temporal,ref_best,triad_completePlans,triad_admissible,triad_committed,triad_completed,triad_outcome,classification
H035,0.58,0.25,0.3,speed_sweep,minus_y,0.05,yes,yes,"{'lead': 8.0, 'err': 0.0051, 'tmin': 1.55, 'temporal': True, 'margin': 5.05}",104,0,False,False,D_NO_TIMING_ADMISSIBLE_PLAN,R3_REFERENCE_FEASIBLE_TRIAD_TIMING_REJECT
H036,0.58,0.25,0.3,speed_sweep,diag_xz,0.05,yes,yes,"{'lead': 8.0, 'err': 0.00889, 'tmin': 1.286, 'temporal': True, 'margin': 5.314}",206,38,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H037,0.58,0.25,0.3,speed_sweep,minus_x,0.08,yes,yes,"{'lead': 8.0, 'err': 0.0043, 'tmin': 1.628, 'temporal': True, 'margin': 4.972}",52,7,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H038,0.58,0.25,0.3,speed_sweep,minus_y,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00753, 'tmin': 1.304, 'temporal': True, 'margin': 5.296}",102,68,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H039,0.58,0.25,0.3,speed_sweep,diag_xz,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00972, 'tmin': 1.072, 'temporal': True, 'margin': 5.528}",134,16,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H040,0.58,0.25,0.3,speed_sweep,minus_x,0.11,yes,yes,"{'lead': 8.0, 'err': 0.00511, 'tmin': 1.558, 'temporal': True, 'margin': 5.042}",36,2,True,False,B_PLAN_FOUND_BUT_EXECUTION_FAILED,R5_REFERENCE_FEASIBLE_TRIAD_EXECUTION_FAIL
H041,0.58,0.25,0.3,speed_sweep,minus_y,0.11,yes,yes,"{'lead': 7.8, 'err': 0.00741, 'tmin': 1.82, 'temporal': True, 'margin': 4.58}",191,191,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H042,0.58,0.25,0.3,speed_sweep,diag_xz,0.11,yes,yes,"{'lead': 8.0, 'err': 0.00605, 'tmin': 0.815, 'temporal': True, 'margin': 5.785}",60,0,False,False,D_NO_TIMING_ADMISSIBLE_PLAN,R3_REFERENCE_FEASIBLE_TRIAD_TIMING_REJECT
H043,0.45,-0.5,0.25,lateral,minus_x,0.08,yes,yes,"{'lead': 7.5, 'err': 0.00843, 'tmin': 1.531, 'temporal': True, 'margin': 4.569}",33,9,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H044,0.45,-0.5,0.25,lateral,plus_y,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00411, 'tmin': 1.686, 'temporal': True, 'margin': 4.914}",75,26,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H045,0.45,-0.5,0.25,lateral,diag_xy,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00973, 'tmin': 1.887, 'temporal': True, 'margin': 4.713}",57,0,False,False,D_NO_TIMING_ADMISSIBLE_PLAN,R3_REFERENCE_FEASIBLE_TRIAD_TIMING_REJECT
H046,0.45,0.5,0.25,lateral,minus_x,0.08,yes,yes,"{'lead': 7.9, 'err': 0.00955, 'tmin': 1.59, 'temporal': True, 'margin': 4.91}",288,11,False,False,E_COMMIT_FRESHNESS_REJECTED,R4_REFERENCE_FEASIBLE_TRIAD_FRESHNESS_REJECT
H047,0.45,0.5,0.25,lateral,plus_y,0.08,yes,yes,"{'lead': 4.8, 'err': 0.00813, 'tmin': 1.191, 'temporal': True, 'margin': 2.209}",57,0,False,False,D_NO_TIMING_ADMISSIBLE_PLAN,R3_REFERENCE_FEASIBLE_TRIAD_TIMING_REJECT
H048,0.45,0.5,0.25,lateral,diag_xy,0.08,yes,yes,"{'lead': 7.8, 'err': 0.00585, 'tmin': 1.458, 'temporal': True, 'margin': 4.942}",5,0,False,False,D_NO_TIMING_ADMISSIBLE_PLAN,R3_REFERENCE_FEASIBLE_TRIAD_TIMING_REJECT
H049,0.35,0.1,0.4,longitudinal,minus_x,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00808, 'tmin': 1.661, 'temporal': True, 'margin': 4.939}",0,0,False,False,C_NO_PHYSICALLY_FEASIBLE_PLAN,R2_REFERENCE_FEASIBLE_TRIAD_NO_PLAN
H050,0.35,0.1,0.4,longitudinal,minus_y,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00402, 'tmin': 1.267, 'temporal': True, 'margin': 5.333}",168,108,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H051,0.35,0.1,0.4,longitudinal,diag_xz,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00798, 'tmin': 0.961, 'temporal': True, 'margin': 5.639}",134,0,False,False,D_NO_TIMING_ADMISSIBLE_PLAN,R3_REFERENCE_FEASIBLE_TRIAD_TIMING_REJECT
H052,0.82,0.1,0.4,longitudinal,minus_x,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00691, 'tmin': 1.762, 'temporal': True, 'margin': 4.838}",0,0,False,False,C_NO_PHYSICALLY_FEASIBLE_PLAN,R2_REFERENCE_FEASIBLE_TRIAD_NO_PLAN
H053,0.82,0.1,0.4,longitudinal,minus_y,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00614, 'tmin': 0.81, 'temporal': True, 'margin': 5.79}",0,0,False,False,C_NO_PHYSICALLY_FEASIBLE_PLAN,R2_REFERENCE_FEASIBLE_TRIAD_NO_PLAN
H054,0.82,0.1,0.4,longitudinal,diag_xz,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00596, 'tmin': 0.952, 'temporal': True, 'margin': 5.648}",233,158,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H055,0.7,-0.25,0.45,multiaxis,diag_xyz,0.08,yes,yes,"{'lead': 8.0, 'err': 0.0096, 'tmin': 1.008, 'temporal': True, 'margin': 5.592}",430,64,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H056,0.7,-0.25,0.45,multiaxis,diag_xyz,0.11,yes,yes,"{'lead': 8.0, 'err': 0.00534, 'tmin': 1.049, 'temporal': True, 'margin': 5.551}",362,1,False,False,E_COMMIT_FRESHNESS_REJECTED,R4_REFERENCE_FEASIBLE_TRIAD_FRESHNESS_REJECT
H057,0.7,-0.25,0.45,multiaxis,diag_xy,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00674, 'tmin': 1.482, 'temporal': True, 'margin': 5.118}",162,73,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H058,0.7,-0.25,0.45,multiaxis,diag_xy,0.11,yes,yes,"{'lead': 7.5, 'err': 0.00769, 'tmin': 1.425, 'temporal': True, 'margin': 4.675}",138,2,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H059,0.55,0.35,0.18,low_height,minus_x,0.08,yes,yes,"{'lead': 8.0, 'err': 0.0063, 'tmin': 1.677, 'temporal': True, 'margin': 4.923}",140,4,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H060,0.55,0.35,0.18,low_height,plus_y,0.08,yes,yes,"{'lead': 6.0, 'err': 0.00934, 'tmin': 1.787, 'temporal': True, 'margin': 2.813}",162,21,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H061,0.55,0.35,0.55,high_height,minus_x,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00398, 'tmin': 1.264, 'temporal': True, 'margin': 5.336}",144,0,False,False,D_NO_TIMING_ADMISSIBLE_PLAN,R3_REFERENCE_FEASIBLE_TRIAD_TIMING_REJECT
H062,0.55,0.35,0.55,high_height,plus_y,0.08,yes,yes,"{'lead': 5.6, 'err': 0.00792, 'tmin': 0.914, 'temporal': True, 'margin': 3.286}",271,36,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
